AccountId,CustomerID,AccountType,Balance,last_kyc_updated,branch_id
SAV-2448819,FDYDB2WDYO,Savings,65763470.33,2020-04-08,BR-00121
BUS-7928281,HR7LFZJVPX,Business,27404643.12,2022-01-15,BR-00185
SAV-8862526,QPB5J0RDF5,Savings,44783413.35,2019-05-21,BR-00064
CUR-1695851,ZUWMX0L33Z,Current,35043447.67,2022-08-20,BR-00144
BUS-5538709,TJ1C9T05WK,Business,83969327.92,2019-11-05,BR-00088
CUR-4206039,E010OEY4MQ,Current,64868803.2,2022-06-05,BR-00046
CUR-4094531,XSZYCNONFN,Current,84591468.89,2020-02-19,BR-00192
CUR-6210897,EAPHWN7KEZ,Current,24022054.6,2020-08-10,BR-00080
SAV-1342361,NN6AIRERY2,Savings,95072812.19,2021-01-31,BR-00192
SAV-1644992,NE0BKD6N8T,Savings,50073447.27,2021-09-20,BR-00123
CUR-6080280,FGO9IACMMU,Current,83836042.5,2020-08-27,BR-00043
BUS-2623088,O6VJQ49EVC,Business,35866108.69,2019-04-11,BR-00118
CUR-1138464,I2U40C52B6,Current,7676256.85,2020-11-19,BR-00078
CUR-4932182,AWVATWP59G,Current,42701108.37,2020-01-11,BR-00003
BUS-5955492,2T7814M3VB,Business,66515190.9,2020-02-12,BR-00121
SAV-7481761,UTSW2F4UWZ,Savings,52279657.57,2021-03-08,BR-00015
BUS-1437880,U99WM6S1B8,Business,83544073.23,2020-10-22,BR-00128
CUR-2033531,08QCMP8EG4,Current,69615977.74,2020-07-02,BR-00057
CUR-2588125,WWJOFQWAMH,Current,35434862.22,2020-03-02,BR-00073
SAV-2198275,D2SU9MNL69,Savings,45107392.31,2022-06-30,BR-00167
SAV-4088355,K2HZSBACNX,Savings,80074187.07,2022-08-17,BR-00037
SAV-6086383,GSR2H5849R,Savings,8180167.67,2022-04-08,BR-00064
SAV-2744535,RZEHA8EJQO,Savings,55541752.46,2020-12-24,BR-00130
SAV-4799485,C6KNLSUR37,Savings,47675816.68,2019-01-19,BR-00027
BUS-3842343,1VK8YD7LK8,Business,56056848.71,2021-11-07,BR-00049
SAV-2874240,XMYED9UDEW,Savings,31820863.68,2021-01-15,BR-00015
BUS-5607227,J3SWY6DKN3,Business,64719404.73,2020-09-05,BR-00175
BUS-5633969,8NU84X1E1R,Business,36252394.27,2019-02-08,BR-00021
CUR-6874369,ZKAFCHOYVA,Current,60116137.08,2019-03-04,BR-00121
BUS-4547117,GODIDU60G2,Business,69833885.19,2019-02-22,BR-00160
SAV-7978346,Y4E27473PV,Savings,7963436.61,2021-10-27,BR-00038
BUS-1867722,8K7LFHJ4WP,Business,8247871.69,2022-08-23,BR-00009
SAV-7839590,IHXX7TM7GG,Savings,16903007.96,2020-05-07,BR-00065
SAV-2814885,91J2EZ8YUY,Savings,81487399.65,2022-04-11,BR-00190
CUR-8669115,IUBC9AEUPQ,Current,38569360.92,2020-08-04,BR-00050
CUR-1077675,PFHOL1Y6IH,Current,29300222.46,2019-02-18,BR-00195
SAV-4124210,WE9IFZ0JDR,Savings,35056802.88,2022-01-11,BR-00068
SAV-1707630,95DZS4Z7WP,Savings,26611252.51,2021-12-31,BR-00068
CUR-8826341,HEP50IPJZ0,Current,78541790.05,2022-10-22,BR-00039
SAV-7191531,4S1S0FVBCX,Savings,94312664.45,2019-05-19,BR-00016
BUS-9947670,SDBM2HCX5R,Business,20517170.84,2021-05-05,BR-00137
BUS-2129395,1NIYAVL65Q,Business,827644.44,2022-06-05,BR-00132
BUS-9546334,QG3BTTP27Q,Business,77035201.23,2021-01-02,BR-00151
BUS-5015079,RSCVY3QOAV,Business,88719140.32,2021-08-24,BR-00186
BUS-3754166,Y08OJJXX7E,Business,43620247.01,2022-11-01,BR-00170
SAV-1532563,KW48GEE1B0,Savings,90742216.66,2020-03-25,BR-00183
CUR-6331446,JZ28PWFA9X,Current,9513264.79,2022-10-03,BR-00185
SAV-5263109,W6BD5PUT89,Savings,81277160.03,2022-01-30,BR-00023
CUR-9224738,FHPPNRM2N5,Current,5122143.6,2020-04-08,BR-00188
BUS-2572976,IT5GK3LTZ2,Business,45322938.92,2021-10-17,BR-00200
SAV-4362271,H1IGIO2AHF,Savings,91552587.05,2019-06-17,BR-00097
SAV-6763700,T7XRVEMG4H,Savings,92667896.0,2019-04-28,BR-00119
BUS-9936945,FXXZF3SRCX,Business,69809974.82,2019-04-12,BR-00029
CUR-2770926,8I0S1LY000,Current,32805387.87,2021-03-22,BR-00012
SAV-2518043,19DTVYHBQX,Savings,20384439.57,2021-03-23,BR-00032
SAV-1321859,9PL4W2PRQ7,Savings,55911771.88,2022-09-02,BR-00016
BUS-9495722,4F5FJSBSZN,Business,22492904.98,2020-01-10,BR-00140
CUR-7609923,OX4PERA7EL,Current,35890497.87,2019-02-17,BR-00170
SAV-7744026,UKVM570SPN,Savings,99375183.11,2021-12-28,BR-00172
CUR-6961281,3V2DK5HM92,Current,11054705.8,2022-01-11,BR-00022
BUS-1517774,XX68BNHXAC,Business,83252261.33,2021-11-18,BR-00131
CUR-9391302,KBF6PC0AN5,Current,19751325.59,2020-11-14,BR-00032
BUS-7044962,JW56H8ZF48,Business,41972306.69,2021-11-30,BR-00115
CUR-1744898,GWHZTN1OZ3,Current,99912149.6,2019-02-05,BR-00063
BUS-2230804,9R9B9FCHSI,Business,98523753.43,2021-08-25,BR-00125
BUS-4676054,4EMT9RU2VW,Business,40288222.21,2022-01-12,BR-00027
CUR-5496307,H4KF4C7QV7,Current,60533773.55,2022-10-13,BR-00006
SAV-6841547,UWDSXNLQJY,Savings,22707102.78,2019-07-18,BR-00039
CUR-4871013,6HAXE0QVHC,Current,33446963.39,2021-05-06,BR-00022
SAV-8835092,EBPDJA42PE,Savings,72758747.8,2019-01-17,BR-00118
BUS-6145283,WFK5WAFJC2,Business,78667589.14,2022-11-20,BR-00194
SAV-9191458,86C2QWQOQU,Savings,36516099.63,2019-03-20,BR-00100
SAV-4567323,0T6YI6CWWL,Savings,16114138.15,2020-05-29,BR-00090
BUS-6470783,6N48J6C1FY,Business,59995519.34,2021-03-04,BR-00173
CUR-2320714,NPPD05SM5I,Current,140756.92,2022-02-20,BR-00093
CUR-2576992,2UHOO2AE8K,Current,80963511.15,2020-11-27,BR-00100
SAV-9381734,0NY7LZH2EL,Savings,3984430.31,2021-07-14,BR-00012
SAV-8850330,PNITEML1ZY,Savings,89816463.59,2019-06-04,BR-00098
BUS-1960419,0HKMVEWS26,Business,34539732.77,2020-08-24,BR-00170
SAV-7059473,VPPDZCBVG8,Savings,89844407.91,2021-03-21,BR-00180
BUS-7047001,51BKUAUO47,Business,35307288.24,2019-06-25,BR-00087
BUS-8452948,F3A2LC6CD1,Business,57236307.28,2020-12-03,BR-00072
CUR-2513708,LLYY9L8TAY,Current,647848.67,2020-12-16,BR-00034
CUR-2650340,P6DSIT7UNZ,Current,86518886.38,2019-10-26,BR-00129
BUS-2939170,2OK4JD60XX,Business,27516863.76,2021-05-29,BR-00059
SAV-1118627,VJEK06PDE3,Savings,3988010.53,2022-03-29,BR-00079
SAV-2381155,7QSF51CQ4P,Savings,2647989.91,2020-03-28,BR-00062
BUS-4596180,Z5NTECTYHA,Business,84663070.75,2019-12-10,BR-00061
CUR-7868299,GO97905K92,Current,53949360.51,2021-09-29,BR-00131
SAV-7400929,JHCU1MZ5Z0,Savings,1434721.02,2021-10-17,BR-00009
BUS-8925061,PL4HU4MG0E,Business,39879437.62,2022-03-11,BR-00133
SAV-2400628,342AZODJV5,Savings,16452301.36,2022-12-17,BR-00059
SAV-8546866,HMCGHUE76R,Savings,49511719.86,2022-02-04,BR-00004
SAV-9011555,G5XONNDQ0F,Savings,99272289.24,2020-12-14,BR-00136
BUS-9343394,614L28K37I,Business,31605423.52,2019-02-04,BR-00103
SAV-4782587,MED8RMZBOB,Savings,30204344.22,2019-04-30,BR-00084
CUR-7969215,65O5S443CC,Current,12539854.53,2020-11-10,BR-00024
BUS-7691907,H2LFB9970G,Business,6164485.56,2020-09-01,BR-00148
BUS-6141064,IE7TZ0J1Y5,Business,22726970.53,2022-12-25,BR-00083
CUR-3179669,BS6SWJJ50L,Current,90470373.4,2019-09-11,BR-00032
CUR-5601333,MVCH174G5W,Current,80551996.6,2020-10-02,BR-00081
BUS-3517854,3ZNC7OO303,Business,3851001.18,2019-06-14,BR-00167
CUR-1665783,6TWH2C71ZD,Current,44945842.67,2021-07-31,BR-00166
BUS-2670530,JIBRUMZSX2,Business,41493712.53,2022-05-12,BR-00069
CUR-7288865,EUMSFCEG9D,Current,8688026.35,2020-08-05,BR-00068
CUR-2237650,P3CSMHSZTP,Current,22857980.0,2020-12-06,BR-00003
CUR-6892221,UMB65APE18,Current,99034913.59,2019-04-10,BR-00118
CUR-9778998,LMGFX0B5G4,Current,4555312.52,2021-03-14,BR-00062
CUR-9262072,0V6N1D0BVD,Current,93933870.73,2020-11-24,BR-00080
CUR-3028471,Y0ZM363N5K,Current,82401231.11,2022-07-26,BR-00179
SAV-4318736,M0RY9NZPSL,Savings,40783818.72,2022-06-23,BR-00082
CUR-4812939,U87TL2RAU1,Current,10899413.49,2020-04-23,BR-00187
CUR-9904588,GIXJOWG0IF,Current,40132435.17,2022-09-26,BR-00170
CUR-3810675,E4WSS3QCPH,Current,95736764.67,2020-08-05,BR-00007
BUS-7072723,74MXAPL5DE,Business,30131688.11,2021-02-01,BR-00118
SAV-8159557,2T9VRUWMF2,Savings,27576055.95,2020-02-13,BR-00047
CUR-3868887,G4UHNF7TAQ,Current,74367983.12,2021-04-29,BR-00078
SAV-6362396,VIIH70ELT1,Savings,18772809.92,2021-06-25,BR-00183
CUR-4602399,0Z71JSU4M6,Current,68619918.98,2019-11-08,BR-00177
BUS-2756365,27JB51VKYW,Business,27114458.48,2022-05-08,BR-00096
BUS-3835779,BHLQRUPTCQ,Business,90636595.53,2022-08-30,BR-00019
SAV-5449359,VOE229ZRE1,Savings,55004163.73,2020-08-05,BR-00024
CUR-2939632,BP0G66K6F6,Current,52051898.84,2020-06-09,BR-00080
BUS-9999524,70Z1PV4VQW,Business,62626119.57,2020-07-04,BR-00133
BUS-2204072,KE1QXSY8NY,Business,988426.49,2019-06-14,BR-00013
CUR-8386696,79Z87ZRXEI,Current,39429967.25,2020-09-12,BR-00021
SAV-8695871,SL68RT7MJF,Savings,74995930.88,2020-04-18,BR-00021
SAV-3376288,Y4FZL8ORUE,Savings,75924777.9,2021-12-05,BR-00066
SAV-4379329,VFY5043UMT,Savings,96880637.09,2022-05-04,BR-00068
SAV-6829012,YFFMEBEDMD,Savings,45220238.42,2022-02-25,BR-00057
BUS-9026434,I4MCYZKA4K,Business,82499079.47,2019-11-02,BR-00137
CUR-8809773,BOI86MYY7N,Current,95653349.22,2021-06-05,BR-00186
SAV-1532758,WXY7UZES7G,Savings,32690147.53,2021-05-25,BR-00141
CUR-8045758,8PKM5CNMSK,Current,92043206.33,2020-02-09,BR-00044
CUR-3680322,2X2X8HHZDD,Current,95424592.83,2020-08-01,BR-00104
BUS-1430983,QCOU1OHCAE,Business,35312799.88,2022-12-22,BR-00050
CUR-5484071,2ZXDJ313X3,Current,11035181.31,2021-04-18,BR-00035
BUS-9917019,9H105H18K0,Business,33626916.37,2019-05-03,BR-00008
BUS-8051784,42GLVP99NR,Business,68651912.73,2020-12-29,BR-00085
SAV-2399621,KQGVR7Y82C,Savings,5600567.71,2022-02-09,BR-00090
BUS-4150553,TJE7VUBJM1,Business,37852570.94,2020-05-13,BR-00121
BUS-8617743,GMKJZA3I6H,Business,59829997.4,2020-10-07,BR-00069
SAV-3376632,9Q1XRQRKS1,Savings,751627.84,2022-12-08,BR-00039
CUR-6894073,RFJBJWW0HJ,Current,48252119.55,2021-01-27,BR-00117
BUS-9678095,XGI6A189YM,Business,35907797.54,2022-12-22,BR-00175
CUR-5088317,93XT6NAY70,Current,46966882.03,2021-11-10,BR-00115
BUS-8025616,Z3QSM38V29,Business,63817780.32,2020-11-01,BR-00103
BUS-1478013,OE3N8D39IV,Business,64013041.18,2022-04-23,BR-00048
SAV-2918683,KNA4D320IZ,Savings,19146876.48,2021-10-16,BR-00118
BUS-5406464,61HWN5BNHK,Business,21266086.5,2022-12-29,BR-00161
BUS-5843946,XMMRYHW5YT,Business,38160721.39,2021-09-21,BR-00169
CUR-6506964,RTSAFU4M9L,Current,20362195.92,2020-12-01,BR-00141
CUR-9613010,40UY4FA63Q,Current,84180085.89,2022-01-08,BR-00192
SAV-1026918,LZD5GIGZ8H,Savings,5196331.06,2022-10-18,BR-00181
BUS-4955934,2ZXDJ313X3,Business,59595556.89,2019-03-26,BR-00113
CUR-8283501,0D9RRA7LBZ,Current,67610456.59,2021-06-29,BR-00018
BUS-1078330,RKTOOF890Z,Business,52842238.87,2021-03-12,BR-00082
CUR-9840485,498ZVOAVCT,Current,16395985.7,2022-02-25,BR-00130
SAV-1862633,QXPZPO8SFL,Savings,21662364.42,2019-11-23,BR-00035
SAV-6405019,F1KKBTQTMV,Savings,81924824.69,2022-08-23,BR-00191
CUR-8741713,WWW23DPI8C,Current,3643801.82,2020-04-23,BR-00095
BUS-4232414,639DBUFI44,Business,68321454.35,2021-08-08,BR-00102
BUS-9510831,8GOVIPQFDP,Business,42038414.44,2019-01-04,BR-00140
SAV-4378672,D8MICG5N95,Savings,40751083.04,2020-08-07,BR-00088
CUR-3302793,Y4LPIPQ0X7,Current,56768319.6,2020-01-30,BR-00175
CUR-7478353,PL4HU4MG0E,Current,32463621.55,2022-06-12,BR-00136
BUS-7006220,PWRJ121AQT,Business,66555612.72,2020-07-22,BR-00103
CUR-2945406,DYHP6LKNF6,Current,55443260.28,2019-08-20,BR-00003
CUR-9283070,D60VLIESVI,Current,77070092.14,2022-03-15,BR-00063
BUS-5595812,WM28KQHYTV,Business,19906852.18,2020-04-29,BR-00096
BUS-7623822,M5249S2IPA,Business,85541025.93,2021-08-28,BR-00035
BUS-8823434,QKXPQ12AJF,Business,48784188.99,2020-10-27,BR-00130
SAV-4568260,PFQLLGLEJS,Savings,61421877.0,2019-10-25,BR-00003
BUS-7289123,7BPW7KHOZJ,Business,75252074.67,2020-05-26,BR-00061
CUR-6242861,6W6WF3T35P,Current,98424272.27,2021-10-07,BR-00037
SAV-3445610,E3WO3JO5SG,Savings,80333671.88,2020-10-06,BR-00047
SAV-3753165,6EHYVOL922,Savings,29258357.27,2020-01-04,BR-00127
SAV-5562120,9O5HIS4G8K,Savings,69556263.54,2020-07-17,BR-00161
BUS-9870033,HT4P3N5R38,Business,58798722.75,2019-03-09,BR-00086
SAV-6202464,GGM8TVEVPH,Savings,19157485.86,2020-08-15,BR-00187
SAV-5527735,JPBEWKVVQF,Savings,28023440.28,2020-10-09,BR-00097
CUR-7676167,NPQ5EJCNZ5,Current,45069006.56,2020-01-14,BR-00012
BUS-5915284,RE1E97UDCC,Business,11914078.16,2019-07-02,BR-00085
SAV-6276871,VMS1SIGLHN,Savings,14914791.73,2019-01-27,BR-00149
CUR-4364178,6R5Q9IM9PM,Current,85204682.06,2020-03-30,BR-00076
SAV-8779413,D25FFX3RFB,Savings,51233867.85,2019-03-10,BR-00098
CUR-3033768,MODWM6RQXB,Current,55035889.11,2020-05-01,BR-00112
BUS-5389106,5QA6OUGCC5,Business,97173963.52,2022-11-02,BR-00144
SAV-6126668,QW2LV36VHJ,Savings,97028968.36,2020-03-07,BR-00120
SAV-7239585,JUMVL6CNGJ,Savings,24766077.46,2019-11-25,BR-00074
BUS-1104762,PPONCEK35D,Business,13418238.31,2022-10-07,BR-00067
BUS-4317221,8824W26IVZ,Business,1385638.09,2021-02-05,BR-00145
CUR-5941854,YY4QPU6DA1,Current,9889304.7,2022-10-31,BR-00174
SAV-2217466,XJPGD8UKCM,Savings,39500762.08,2019-07-29,BR-00136
BUS-2460233,RURLR71U8A,Business,87393028.53,2022-05-18,BR-00181
BUS-3972268,SJSKXBX23D,Business,38724695.2,2019-10-09,BR-00115
CUR-4122823,4IK96KIG9W,Current,10407728.85,2022-01-12,BR-00177
BUS-3507012,EX88FYKH1I,Business,859156.97,2020-08-27,BR-00183
SAV-2883487,P9NGIWUOUQ,Savings,20160276.73,2020-10-08,BR-00091
CUR-4385901,BSOSX7ZAAH,Current,98482953.78,2020-04-09,BR-00173
SAV-1510427,PH2J8XTL5W,Savings,42418229.21,2022-04-12,BR-00001
BUS-2419591,XSZYCNONFN,Business,33864428.29,2019-02-13,BR-00057
CUR-4464735,RM157ETJ2J,Current,31653756.27,2019-02-09,BR-00127
SAV-3037312,UWRU0JQZHY,Savings,31090336.7,2020-12-30,BR-00128
CUR-4865478,8QGA6E56F1,Current,42344725.79,2022-02-16,BR-00002
CUR-2465934,CQSKZYJBGB,Current,49390422.14,2022-03-11,BR-00184
CUR-4468610,9XXPOTX35C,Current,79612634.96,2022-03-20,BR-00048
SAV-2619163,7WD4MMH52N,Savings,71384789.47,2021-09-19,BR-00012
CUR-9356493,XAGXF7PMUK,Current,55329925.94,2021-12-19,BR-00067
SAV-5495974,BB45UU8O8B,Savings,70280743.95,2020-09-17,BR-00124
SAV-1511019,NX7WV6IFO9,Savings,34506846.7,2020-01-30,BR-00156
BUS-3776962,CZDNZ0JMHV,Business,97253981.02,2019-06-21,BR-00096
SAV-6100395,6NF2783BAH,Savings,20384878.84,2019-07-24,BR-00174
CUR-1261633,B7WP7OYUFD,Current,52837449.76,2022-09-01,BR-00071
BUS-5937906,EYR64FD33J,Business,72621535.07,2020-01-10,BR-00039
CUR-7427532,8EHQNW7F5Z,Current,15409339.44,2019-01-25,BR-00034
CUR-2268257,TSZS43U7K6,Current,45227157.47,2021-11-25,BR-00131
BUS-5240995,NFW48OIKQQ,Business,61602097.91,2021-01-14,BR-00146
CUR-3159946,K1K9KK07GE,Current,61155112.07,2019-03-30,BR-00185
SAV-1859539,Z5NTECTYHA,Savings,56547445.94,2020-07-03,BR-00104
CUR-8996521,V8652NJJ2X,Current,42334289.03,2019-11-05,BR-00007
SAV-1037831,X2ONVB7XK7,Savings,2496201.64,2019-11-22,BR-00076
SAV-7509638,27VWM3I0ZU,Savings,69408456.26,2022-06-09,BR-00171
BUS-3697737,VQKFBJRJR2,Business,93541530.18,2022-11-25,BR-00098
BUS-8680472,BE7114TIDK,Business,38524140.94,2022-02-02,BR-00118
SAV-4921366,NWX0U3Q0V5,Savings,21993194.94,2020-12-04,BR-00024
BUS-9071375,QM4U5W8BAI,Business,34258269.79,2021-01-26,BR-00129
BUS-2385163,HB185O86YQ,Business,99371110.38,2020-08-22,BR-00178
SAV-8648793,SBGINCPFRX,Savings,57746284.58,2022-04-28,BR-00072
CUR-2224282,K67W3Z3AIB,Current,25136304.17,2020-04-25,BR-00120
CUR-3748374,IZQKUPBLC2,Current,28625280.88,2021-12-30,BR-00039
BUS-3300760,BPPOWFK4V5,Business,87366993.18,2022-03-29,BR-00131
BUS-6934602,QKWI8PF3XY,Business,32860692.13,2019-04-12,BR-00077
SAV-1516038,LTG5BW688R,Savings,20549723.35,2021-07-14,BR-00132
CUR-4423771,MAFRDXC76C,Current,4143765.74,2022-08-11,BR-00192
SAV-8155289,3V098UQYIE,Savings,61699196.71,2022-09-13,BR-00016
BUS-1164831,Q9QMK4M0DP,Business,9618204.0,2021-12-13,BR-00105
BUS-6687463,CMAT4J5855,Business,2829512.58,2021-11-26,BR-00145
CUR-5446670,AWGZ5BZIOG,Current,87699189.27,2021-03-29,BR-00024
CUR-9008461,FHSY71DD9I,Current,57620061.68,2021-10-23,BR-00011
BUS-5665452,ZQMT4BR3J9,Business,40600286.05,2019-01-06,BR-00166
CUR-6055258,SJRHPP7GMN,Current,86046416.27,2022-08-01,BR-00163
CUR-5375143,FBWJWYVPWQ,Current,98537469.35,2022-03-07,BR-00199
SAV-9050246,QQLJHKDTX6,Savings,29198418.42,2020-05-31,BR-00111
BUS-6608721,A0MVPJGAHC,Business,35652861.3,2022-02-05,BR-00086
CUR-8417406,XOLJBLDUQM,Current,58745503.07,2020-04-26,BR-00063
CUR-7254555,CEZHOL1VEQ,Current,65116637.28,2022-12-21,BR-00179
BUS-8352957,AYP8SMHI36,Business,53257785.97,2022-10-08,BR-00151
CUR-8507944,4M5LN22JYL,Current,76194051.88,2022-12-09,BR-00058
BUS-8525800,BWLFUIRYOS,Business,83670018.9,2020-12-21,BR-00142
CUR-5684447,K68PICWHMI,Current,71551575.97,2022-04-29,BR-00062
BUS-9352639,AHVRBMHBNB,Business,47207560.35,2020-11-29,BR-00095
CUR-8600345,R9829QA32K,Current,21512455.74,2020-10-09,BR-00191
CUR-6739499,4BSAXDXX8U,Current,25416506.17,2019-05-30,BR-00096
SAV-5570731,GWHZTN1OZ3,Savings,22404037.09,2022-03-08,BR-00172
CUR-8335811,7HCOHUT3SL,Current,67918653.19,2019-08-30,BR-00094
BUS-6886546,KI2GEO2XDT,Business,98491136.89,2022-02-04,BR-00078
CUR-6338666,KSTCDNRYGF,Current,98983034.32,2019-08-15,BR-00065
BUS-2271665,H6392UIB3E,Business,68755393.42,2022-10-18,BR-00070
SAV-9571365,5XF8QUTMJZ,Savings,56910043.64,2020-08-08,BR-00017
BUS-8765497,BCG5F1KBMR,Business,12832287.46,2021-07-30,BR-00058
BUS-2201580,EVWU3FNX6F,Business,43108334.44,2020-05-13,BR-00018
BUS-7496553,8CJWI4AZCF,Business,36423634.2,2020-03-31,BR-00150
CUR-6611592,VI0LSIJCXN,Current,46065846.59,2020-02-11,BR-00081
CUR-8330905,3JYY2YWXEQ,Current,45685983.12,2021-06-15,BR-00158
BUS-9165418,0IHW38NISB,Business,84464665.71,2019-06-16,BR-00019
SAV-1028680,XQ3YW1PJSN,Savings,20013190.0,2021-08-12,BR-00113
BUS-3007317,N4O5RM758S,Business,63509428.03,2020-10-10,BR-00020
CUR-3843513,41DO2NJBQJ,Current,40365504.92,2022-02-28,BR-00147
BUS-4479542,PXET8V6JDS,Business,80912082.18,2019-12-19,BR-00165
SAV-5750924,CUKSJB58I3,Savings,19556980.85,2022-03-25,BR-00031
CUR-5120028,M3R1KG1MLQ,Current,54686267.8,2020-10-24,BR-00058
SAV-1870530,GLCYWRIEB7,Savings,28278719.09,2021-11-09,BR-00160
SAV-2922397,AIU85ON20R,Savings,50820284.17,2021-10-24,BR-00189
BUS-5871679,CVW6YP4O4X,Business,83461076.55,2021-05-26,BR-00006
SAV-6033617,VZXCF3BL8V,Savings,27453744.66,2022-12-13,BR-00118
BUS-2429116,OD0VEK7CLI,Business,91380907.98,2021-08-13,BR-00022
SAV-8597063,TQKW5AJGRV,Savings,98184277.05,2022-05-16,BR-00148
CUR-2684719,7JCQUOUXOS,Current,71179566.47,2022-06-07,BR-00081
SAV-1998854,JHYRGUS75P,Savings,72377332.31,2021-04-04,BR-00097
CUR-6287452,I2IZ288P7K,Current,69984397.18,2022-08-25,BR-00046
CUR-2953324,IOTEKC6CX2,Current,71420263.77,2019-10-16,BR-00109
CUR-2364684,45B8V42M22,Current,80998219.03,2021-02-08,BR-00179
CUR-8290909,K15ORV1U70,Current,39533468.28,2021-02-05,BR-00132
SAV-1523008,EGHKAEOYE4,Savings,56099795.25,2020-03-10,BR-00104
BUS-2232174,JBAKAQPMX5,Business,75090759.1,2020-03-21,BR-00131
CUR-2719621,P6WQS28HZR,Current,3048534.3,2020-07-19,BR-00075
CUR-3425952,C693OJY0JS,Current,2636950.8,2021-06-21,BR-00142
CUR-8920511,CLSAGNWHZ6,Current,32955261.36,2022-07-06,BR-00031
BUS-1734201,CIROXT4ZNV,Business,60833294.66,2020-01-02,BR-00163
CUR-2387710,D1MAIEB54O,Current,29509238.78,2019-03-31,BR-00038
BUS-8444737,J6B7ABNB2F,Business,43163331.7,2021-09-13,BR-00190
BUS-6522519,M65LWEP9A6,Business,19202025.77,2019-12-19,BR-00020
CUR-2152610,BSQIFRMYKZ,Current,17666274.16,2021-12-03,BR-00037
BUS-5960711,FNQG6XS8VP,Business,46808819.45,2021-06-05,BR-00022
SAV-9649020,EJBKKK8MUD,Savings,52693189.01,2020-05-22,BR-00111
SAV-8353996,70Z1PV4VQW,Savings,47430853.57,2020-03-27,BR-00132
BUS-4872860,O640PI5M1S,Business,13305874.88,2019-05-13,BR-00075
CUR-1095208,L04PVD5WDO,Current,85914176.49,2021-09-28,BR-00157
BUS-8764707,K633PHIT5Q,Business,52241136.74,2020-04-19,BR-00029
BUS-1837574,0E7LMZ7ECN,Business,17547120.1,2019-12-18,BR-00168
CUR-2214163,5QKSKH3EIN,Current,91017966.85,2020-05-05,BR-00133
CUR-6783285,2M6S8UX3IU,Current,34276433.84,2021-12-03,BR-00061
